kjv_rid,bhs_rid,gnt_rid,lxx_rid,vul_rid
013008036,013008036,"",013008036,013008036
013008037,013008037,"",013008037,013008037
013008038,013008038,"",013008038,013008038
013008039,013008039,"",013008039,013008039
013008040,013008040,"",013008040,013008040
013009001,013009001,"",013009001,013009001
013009002,013009002,"",013009002,013009002
013009003,013009003,"",013009003,013009003
013009004,013009004,"",013009004,013009004
013009005,013009005,"",013009005,013009005
013009006,013009006,"",013009006,013009006
013009007,013009007,"",013009007,013009007
013009008,013009008,"",013009008,013009008
013009009,013009009,"",013009009,013009009
013009010,013009010,"",013009010,013009010
013009011,013009011,"",013009011,013009011
013009012,013009012,"",013009012,013009012
013009013,013009013,"",013009013,013009013
013009014,013009014,"",013009014,013009014
013009015,013009015,"",013009015,013009015
013009016,013009016,"",013009016,013009016
013009017,013009017,"",013009017,013009017
013009018,013009018,"",013009018,013009018
013009019,013009019,"",013009019,013009019
013009020,013009020,"",013009020,013009020
013009021,013009021,"",013009021,013009021
013009022,013009022,"",013009022,013009022
013009023,013009023,"",013009023,013009023
013009024,013009024,"",013009024,013009024
013009025,013009025,"",013009025,013009025
013009026,013009026,"",013009026,013009026
013009027,013009027,"",013009027,013009027
013009028,013009028,"",013009028,013009028
013009029,013009029,"",013009029,013009029
013009030,013009030,"",013009030,013009030
013009031,013009031,"",013009031,013009031
013009032,013009032,"",013009032,013009032
013009033,013009033,"",013009033,013009033
013009034,013009034,"",013009034,013009034
013009035,013009035,"",013009035,013009035
013009036,013009036,"",013009036,013009036
013009037,013009037,"",013009037,013009037
013009038,013009038,"",013009038,013009038
013009039,013009039,"",013009039,013009039
013009040,013009040,"",013009040,013009040
013009041,013009041,"",013009041,013009041
013009042,013009042,"",013009042,013009042
013009043,013009043,"",013009043,013009043
013009044,013009044,"",013009044,013009044
013010001,013010001,"",013010001,013010001
013010002,013010002,"",013010002,013010002
013010003,013010003,"",013010003,013010003
013010004,013010004,"",013010004,013010004
013010005,013010005,"",013010005,013010005
013010006,013010006,"",013010006,013010006
013010007,013010007,"",013010007,013010007
013010008,013010008,"",013010008,013010008
013010009,013010009,"",013010009,013010009
013010010,013010010,"",013010010,013010010
013010011,013010011,"",013010011,013010011
013010012,013010012,"",013010012,013010012
013010013,013010013,"",013010013,013010013
013010014,013010014,"",013010014,013010014
013011001,013011001,"",013011001,013011001
013011002,013011002,"",013011002,013011002
013011003,013011003,"",013011003,013011003
013011004,013011004,"",013011004,013011004
013011005,013011005,"",013011005,013011005
013011006,013011006,"",013011006,013011006
013011007,013011007,"",013011007,013011007
013011008,013011008,"",013011008,013011008
013011009,013011009,"",013011009,013011009
013011010,013011010,"",013011010,013011010
013011011,013011011,"",013011011,013011011
013011012,013011012,"",013011012,013011012
013011013,013011013,"",013011013,013011013
013011014,013011014,"",013011014,013011014
013011015,013011015,"",013011015,013011015
013011016,013011016,"",013011016,013011016
013011017,013011017,"",013011017,013011017
013011018,013011018,"",013011018,013011018
013011019,013011019,"",013011019,013011019
013011020,013011020,"",013011020,013011020
013011021,013011021,"",013011021,013011021
013011022,013011022,"",013011022,013011022
013011023,013011023,"",013011023,013011023
013011024,013011024,"",013011024,013011024
013011025,013011025,"",013011025,013011025
013011026,013011026,"",013011026,013011026
013011027,013011027,"",013011027,013011027
013011028,013011028,"",013011028,013011028
013011029,013011029,"",013011029,013011029
013011030,013011030,"",013011030,013011030
013011031,013011031,"",013011031,013011031
013011032,013011032,"",013011032,013011032
013011033,013011033,"",013011033,013011033
013011034,013011034,"",013011034,013011034
013011035,013011035,"",013011035,013011035
013011036,013011036,"",013011036,013011036
013011037,013011037,"",013011037,013011037
013011038,013011038,"",013011038,013011038
013011039,013011039,"",013011039,013011039
013011040,013011040,"",013011040,013011040
013011041,013011041,"",013011041,013011041
013011042,013011042,"",013011042,013011042
013011043,013011043,"",013011043,013011043
013011044,013011044,"",013011044,013011044
013011045,013011045,"",013011045,013011045
013011046,013011046,"",013011046,013011046
013011047,013011047,"",013011047,013011046
013012001,013012001,"",013012001,013012001
013012002,013012002,"",013012002,013012002
013012003,013012003,"",013012003,013012003
013012004,013012004,"",013012004,013012004
013012005,013012005,"",013012005,013012005
013012005a,013012006,"",013012006,013012005
013012006,013012007,"",013012007,013012006
013012007,013012008,"",013012008,013012007
013012008,013012009,"",013012009,013012008
013012009,013012010,"",013012010,013012009
013012010,013012011,"",013012011,013012010
013012011,013012012,"",013012012,013012011
013012012,013012013,"",013012013,013012012
013012013,013012014,"",013012014,013012013
013012014,013012015,"",013012015,013012014
013012015,013012016,"",013012016,013012015
013012016,013012017,"",013012017,013012016
013012017,013012018,"",013012018,013012017
013012018,013012019,"",013012019,013012018
013012019,013012020,"",013012020,013012019
013012020,013012021,"",013012021,013012020
013012021,013012022,"",013012022,013012021
013012022,013012023,"",013012023,013012022
013012023,013012024,"",013012024,013012023
013012024,013012025,"",013012025,013012024
013012025,013012026,"",013012026,013012025
013012026,013012027,"",013012027,013012026
013012027,013012028,"",013012028,013012027
013012028,013012029,"",013012029,013012028
013012029,013012030,"",013012030,013012029
013012030,013012031,"",013012031,013012030
013012031,013012032,"",013012032,013012031
013012032,013012033,"",013012033,013012032
013012033,013012034,"",013012034,013012033
013012034,013012035,"",013012035,013012034
013012035,013012036,"",013012036,013012035
013012036,013012037,"",013012037,013012036
013012037,013012038,"",013012038,013012037
013012038,013012039,"",013012039,013012038
013012039,013012040,"",013012040,013012039
013012040,013012041,"",013012041,013012040
013013001,013013001,"",013013001,013013001
013013002,013013002,"",013013002,013013002
013013003,013013003,"",013013003,013013003
013013004,013013004,"",013013004,013013004
013013005,013013005,"",013013005,013013005
013013006,013013006,"",013013006,013013006
013013007,013013007,"",013013007,013013007
013013008,013013008,"",013013008,013013008
013013009,013013009,"",013013009,013013009
013013010,013013010,"",013013010,013013010
013013011,013013011,"",013013011,013013011
013013012,013013012,"",013013012,013013012
013013013,013013013,"",013013013,013013013
013013014,013013014,"",013013014,013013014
013014001,013014001,"",013014001,013014001
013014002,013014002,"",013014002,013014002
013014003,013014003,"",013014003,013014003
013014004,013014004,"",013014004,013014004
013014005,013014005,"",013014005,013014005
013014006,013014006,"",013014006,013014006
013014007,013014007,"",013014007,013014007
013014008,013014008,"",013014008,013014008
013014009,013014009,"",013014009,013014009
013014010,013014010,"",013014010,013014010
013014011,013014011,"",013014011,013014011
013014012,013014012,"",013014012,013014012
013014013,013014013,"",013014013,013014013
013014014,013014014,"",013014014,013014014
013014015,013014015,"",013014015,013014015
013014016,013014016,"",013014016,013014016
013014017,013014017,"",013014017,013014017
013015001,013015001,"",013015001,013015001
013015002,013015002,"",013015002,013015002
013015003,013015003,"",013015003,013015003
013015004,013015004,"",013015004,013015004
013015005,013015005,"",013015005,013015005
013015006,013015006,"",013015006,013015006
013015007,013015007,"",013015007,013015007
013015008,013015008,"",013015008,013015008
013015009,013015009,"",013015009,013015009
013015010,013015010,"",013015010,013015010
013015011,013015011,"",013015011,013015011
013015012,013015012,"",013015012,013015012
013015013,013015013,"",013015013,013015013
013015014,013015014,"",013015014,013015014
013015015,013015015,"",013015015,013015015
013015016,013015016,"",013015016,013015016
013015017,013015017,"",013015017,013015017
013015018,013015018,"",013015018,013015018
013015019,013015019,"",013015019,013015019
013015020,013015020,"",013015020,013015020
013015021,013015021,"",013015021,013015021
013015022,013015022,"",013015022,013015022
013015023,013015023,"",013015023,013015023
013015024,013015024,"",013015024,013015024
013015025,013015025,"",013015025,013015025
013015026,013015026,"",013015026,013015026
013015027,013015027,"",013015027,013015027
013015028,013015028,"",013015028,013015028
013015029,013015029,"",013015029,013015029
013016001,013016001,"",013016001,013016001
013016002,013016002,"",013016002,013016002
013016003,013016003,"",013016003,013016003
013016004,013016004,"",013016004,013016004
013016005,013016005,"",013016005,013016005
013016006,013016006,"",013016006,013016006
013016007,013016007,"",013016007,013016007
013016008,013016008,"",013016008,013016008
013016009,013016009,"",013016009,013016009
013016010,013016010,"",013016010,013016010
013016011,013016011,"",013016011,013016011
013016012,013016012,"",013016012,013016012
013016013,013016013,"",013016013,013016013
013016014,013016014,"",013016014,013016014
013016015,013016015,"",013016015,013016015
013016016,013016016,"",013016016,013016016
013016017,013016017,"",013016017,013016017
013016018,013016018,"",013016018,013016018
013016019,013016019,"",013016019,013016019
013016020,013016020,"",013016020,013016020
013016021,013016021,"",013016021,013016021
013016022,013016022,"",013016022,013016022
013016023,013016023,"",013016023,013016023
013016024,013016024,"",013016024,013016024
013016025,013016025,"",013016025,013016025
013016026,013016026,"",013016026,013016026
013016027,013016027,"",013016027,013016027
013016028,013016028,"",013016028,013016028
013016029,013016029,"",013016029,013016029
013016030,013016030,"",013016030,013016030
013016031,013016031,"",013016031,013016031
013016032,013016032,"",013016032,013016032
013016033,013016033,"",013016033,013016033
013016034,013016034,"",013016034,013016034
013016035,013016035,"",013016035,013016035
013016036,013016036,"",013016036,013016036
013016037,013016037,"",013016037,013016037
013016038,013016038,"",013016038,013016038
013016039,013016039,"",013016039,013016039
013016040,013016040,"",013016040,013016040
013016041,013016041,"",013016041,013016041
013016042,013016042,"",013016042,013016042
013016043,013016043,"",013016043,013016043
013017001,013017001,"",013017001,013017001
013017002,013017002,"",013017002,013017002
013017003,013017003,"",013017003,013017003
013017004,013017004,"",013017004,013017004
013017005,013017005,"",013017005,013017005
013017006,013017006,"",013017006,013017006
013017007,013017007,"",013017007,013017007
013017008,013017008,"",013017008,013017008
013017009,013017009,"",013017009,013017009
013017010,013017010,"",013017010,013017010
013017011,013017011,"",013017011,013017011
013017012,013017012,"",013017012,013017012
013017013,013017013,"",013017013,013017013
013017014,013017014,"",013017014,013017014
013017015,013017015,"",013017015,013017015
013017016,013017016,"",013017016,013017016
013017017,013017017,"",013017017,013017017
013017018,013017018,"",013017018,013017018
013017019,013017019,"",013017019,013017019
013017020,013017020,"",013017020,013017020
013017021,013017021,"",013017021,013017021
013017022,013017022,"",013017022,013017022
013017023,013017023,"",013017023,013017023
013017024,013017024,"",013017024,013017024
013017025,013017025,"",013017025,013017025
013017026,013017026,"",013017026,013017026
013017027,013017027,"",013017027,013017027
013018001,013018001,"",013018001,013018001
013018002,013018002,"",013018002,013018002
013018003,013018003,"",013018003,013018003
013018004,013018004,"",013018004,013018004
013018005,013018005,"",013018005,013018005
013018006,013018006,"",013018006,013018006
013018007,013018007,"",013018007,013018007
013018008,013018008,"",013018008,013018008
013018009,013018009,"",013018009,013018009
013018010,013018010,"",013018010,013018010
013018011,013018011,"",013018011,013018011
013018012,013018012,"",013018012,013018012
013018013,013018013,"",013018013,013018013
013018014,013018014,"",013018014,013018014
013018015,013018015,"",013018015,013018015
013018016,013018016,"",013018016,013018016
013018017,013018017,"",013018017,013018017
013019001,013019001,"",013019001,013019001
013019002,013019002,"",013019002,013019002
013019003,013019003,"",013019003,013019003
013019004,013019004,"",013019004,013019004
013019005,013019005,"",013019005,013019005
013019006,013019006,"",013019006,013019006
013019007,013019007,"",013019007,013019007
013019008,013019008,"",013019008,013019008
013019009,013019009,"",013019009,013019009
013019010,013019010,"",013019010,013019010
013019011,013019011,"",013019011,013019011
013019012,013019012,"",013019012,013019012
013019013,013019013,"",013019013,013019013
013019014,013019014,"",013019014,013019014
013019015,013019015,"",013019015,013019015
013019016,013019016,"",013019016,013019016
013019017,013019017,"",013019017,013019017
013019018,013019018,"",013019018,013019018
013019019,013019019,"",013019019,013019019
013020001,013020001,"",013020001,013020001
013020002,013020002,"",013020002,013020002
013020003,013020003,"",013020003,013020003
013020004,013020004,"",013020004,013020004
013020005,013020005,"",013020005,013020005
013020006,013020006,"",013020006,013020006
013020007,013020007,"",013020007,013020007
013020008,013020008,"",013020008,013020007
013021001,013021001,"",013021001,013021001
013021002,013021002,"",013021002,013021002
013021003,013021003,"",013021003,013021003
013021004,013021004,"",013021004,013021004
013021005,013021005,"",013021005,013021005
013021006,013021006,"",013021006,013021006
013021007,013021007,"",013021007,013021007
013021008,013021008,"",013021008,013021008
013021009,013021009,"",013021009,013021009
013021010,013021010,"",013021010,013021010
013021011,013021011,"",013021011,013021011
013021012,013021012,"",013021012,013021012
013021013,013021013,"",013021013,013021013
013021014,013021014,"",013021014,013021014
013021015,013021015,"",013021015,013021015
013021016,013021016,"",013021016,013021016
013021017,013021017,"",013021017,013021017
013021018,013021018,"",013021018,013021018
013021019,013021019,"",013021019,013021019
013021020,013021020,"",013021020,013021020
013021021,013021021,"",013021021,013021021
013021022,013021022,"",013021022,013021022
013021023,013021023,"",013021023,013021023
013021024,013021024,"",013021024,013021024
013021025,013021025,"",013021025,013021025
013021026,013021026,"",013021026,013021026
013021027,013021027,"",013021027,013021027
013021028,013021028,"",013021028,013021028
013021029,013021029,"",013021029,013021029
013021030,013021030,"",013021030,013021030
013022001,013022001,"",013022001,013022001
013022002,013022002,"",013022002,013022002
013022003,013022003,"",013022003,013022003
013022004,013022004,"",013022004,013022004
013022005,013022005,"",013022005,013022005
013022006,013022006,"",013022006,013022006
013022007,013022007,"",013022007,013022007
013022008,013022008,"",013022008,013022008
013022009,013022009,"",013022009,013022009
013022010,013022010,"",013022010,013022010
013022011,013022011,"",013022011,013022011
013022012,013022012,"",013022012,013022012
013022013,013022013,"",013022013,013022013
013022014,013022014,"",013022014,013022014
013022015,013022015,"",013022015,013022015
013022016,013022016,"",013022016,013022016
013022017,013022017,"",013022017,013022017
013022018,013022018,"",013022018,013022018
013022019,013022019,"",013022019,013022019
013023001,013023001,"",013023001,013023001
013023002,013023002,"",013023002,013023002
013023003,013023003,"",013023003,013023003
013023004,013023004,"",013023004,013023004
013023005,013023005,"",013023005,013023005
013023006,013023006,"",013023006,013023006
013023007,013023007,"",013023007,013023007
013023008,013023008,"",013023008,013023008
013023009,013023009,"",013023009,013023009
013023010,013023010,"",013023010,013023010
013023011,013023011,"",013023011,013023011
013023012,013023012,"",013023012,013023012
013023013,013023013,"",013023013,013023013
013023014,013023014,"",013023014,013023014
013023015,013023015,"",013023015,013023015
013023016,013023016,"",013023016,013023016
013023017,013023017,"",013023017,013023017
013023018,013023018,"",013023018,013023018
013023019,013023019,"",013023019,013023019
013023020,013023020,"",013023020,013023020
013023021,013023021,"",013023021,013023021
013023022,013023022,"",013023022,013023022
013023023,013023023,"",013023023,013023023
013023024,013023024,"",013023024,013023024
013023025,013023025,"",013023025,013023025
013023026,013023026,"",013023026,013023026
013023027,013023027,"",013023027,013023027
013023028,013023028,"",013023028,013023028
013023029,013023029,"",013023029,013023029
013023030,013023030,"",013023030,013023030
013023031,013023031,"",013023031,013023031
013023032,013023032,"",013023032,013023032
013024001,013024001,"",013024001,013024001
013024002,013024002,"",013024002,013024002
013024003,013024003,"",013024003,013024003
013024004,013024004,"",013024004,013024004
013024005,013024005,"",013024005,013024005
013024006,013024006,"",013024006,013024006
013024007,013024007,"",013024007,013024007
013024008,013024008,"",013024008,013024008
013024009,013024009,"",013024009,013024009
013024010,013024010,"",013024010,013024010
013024011,013024011,"",013024011,013024011
013024012,013024012,"",013024012,013024012
013024013,013024013,"",013024013,013024013
013024014,013024014,"",013024014,013024014
013024015,013024015,"",013024015,013024015
013024016,013024016,"",013024016,013024016
013024017,013024017,"",013024017,013024017
013024018,013024018,"",013024018,013024018
013024019,013024019,"",013024019,013024019
013024020,013024020,"",013024020,013024020
013024021,013024021,"",013024021,013024021
013024022,013024022,"",013024022,013024022
013024023,013024023,"",013024023,013024023
013024024,013024024,"",013024024,013024024
013024025,013024025,"",013024025,013024025
013024026,013024026,"",013024026,013024026
013024027,013024027,"",013024027,013024027
013024028,013024028,"",013024028,013024028
013024029,013024029,"",013024029,013024029
013024030,013024030,"",013024030,013024030
013024031,013024031,"",013024031,013024031
013025001,013025001,"",013025001,013025001
013025002,013025002,"",013025002,013025002
013025003,013025003,"",013025003,013025003
013025004,013025004,"",013025004,013025004
013025005,013025005,"",013025005,013025005
013025006,013025006,"",013025006,013025006
013025007,013025007,"",013025007,013025007
013025008,013025008,"",013025008,013025008
013025009,013025009,"",013025009,013025009
013025010,013025010,"",013025010,013025010
013025011,013025011,"",013025011,013025011
013025012,013025012,"",013025012,013025012
013025013,013025013,"",013025013,013025013
013025014,013025014,"",013025014,013025014
013025015,013025015,"",013025015,013025015
013025016,013025016,"",013025016,013025016
013025017,013025017,"",013025017,013025017
013025018,013025018,"",013025018,013025018
013025019,013025019,"",013025019,013025019
013025020,013025020,"",013025020,013025020
013025021,013025021,"",013025021,013025021
013025022,013025022,"",013025022,013025022
013025023,013025023,"",013025023,013025023
013025024,013025024,"",013025024,013025024
013025025,013025025,"",013025025,013025025
013025026,013025026,"",013025026,013025026
013025027,013025027,"",013025027,013025027
013025028,013025028,"",013025028,013025028
013025029,013025029,"",013025029,013025029
013025030,013025030,"",013025030,013025030
013025031,013025031,"",013025031,013025031
013026001,013026001,"",013026001,013026001
013026002,013026002,"",013026002,013026002
013026003,013026003,"",013026003,013026003
013026004,013026004,"",013026004,013026004
013026005,013026005,"",013026005,013026005
013026006,013026006,"",013026006,013026006
013026007,013026007,"",013026007,013026007
013026008,013026008,"",013026008,013026008
013026009,013026009,"",013026009,013026009
013026010,013026010,"",013026010,013026010
013026011,013026011,"",013026011,013026011
013026012,013026012,"",013026012,013026012
013026013,013026013,"",013026013,013026013
013026014,013026014,"",013026014,013026014
013026015,013026015,"",013026015,013026015
013026016,013026016,"",013026016,013026016
013026017,013026017,"",013026017,013026017
013026018,013026018,"",013026018,013026018
013026019,013026019,"",013026019,013026019
013026020,013026020,"",013026020,013026020
013026021,013026021,"",013026021,013026021
013026022,013026022,"",013026022,013026022
013026023,013026023,"",013026023,013026023
013026024,013026024,"",013026024,013026024
013026025,013026025,"",013026025,013026025
013026026,013026026,"",013026026,013026026
013026027,013026027,"",013026027,013026027
013026028,013026028,"",013026028,013026028
013026029,013026029,"",013026029,013026029
013026030,013026030,"",013026030,013026030
013026031,013026031,"",013026031,013026031
013026032,013026032,"",013026032,013026032
013027001,013027001,"",013027001,013027001
013027002,013027002,"",013027002,013027002
013027003,013027003,"",013027003,013027003
013027004,013027004,"",013027004,013027004
013027005,013027005,"",013027005,013027005
013027006,013027006,"",013027006,013027006
013027007,013027007,"",013027007,013027007
013027008,013027008,"",013027008,013027008
013027009,013027009,"",013027009,013027009
013027010,013027010,"",013027010,013027010
013027011,013027011,"",013027011,013027011
013027012,013027012,"",013027012,013027012
013027013,013027013,"",013027013,013027013
013027014,013027014,"",013027014,013027014
013027015,013027015,"",013027015,013027015
013027016,013027016,"",013027016,013027016
013027017,013027017,"",013027017,013027017
013027018,013027018,"",013027018,013027018
013027019,013027019,"",013027019,013027019
013027020,013027020,"",013027020,013027020
013027021,013027021,"",013027021,013027021
013027022,013027022,"",013027022,013027022
013027023,013027023,"",013027023,013027023
013027024,013027024,"",013027024,013027024
013027025,013027025,"",013027025,013027025
013027026,013027026,"",013027026,013027026
013027027,013027027,"",013027027,013027027
013027028,013027028,"",013027028,013027028
013027029,013027029,"",013027029,013027029
013027030,013027030,"",013027030,013027030
013027031,013027031,"",013027031,013027031
013027032,013027032,"",013027032,013027032
013027033,013027033,"",013027033,013027033
013027034,013027034,"",013027034,013027034
013028001,013028001,"",013028001,013028001
013028002,013028002,"",013028002,013028002
013028003,013028003,"",013028003,013028003
013028004,013028004,"",013028004,013028004
013028005,013028005,"",013028005,013028005
013028006,013028006,"",013028006,013028006
013028007,013028007,"",013028007,013028007
013028008,013028008,"",013028008,013028008
013028009,013028009,"",013028009,013028009
013028010,013028010,"",013028010,013028010
013028011,013028011,"",013028011,013028011
013028012,013028012,"",013028012,013028012
013028013,013028013,"",013028013,013028013
013028014,013028014,"",013028014,013028014
013028015,013028015,"",013028015,013028015
013028016,013028016,"",013028016,013028016
013028017,013028017,"",013028017,013028017
013028018,013028018,"",013028018,013028018
013028019,013028019,"",013028019,013028019
013028020,013028020,"",013028020,013028020
013028021,013028021,"",013028021,013028021
013029001,013029001,"",013029001,013029001
013029002,013029002,"",013029002,013029002
013029003,013029003,"",013029003,013029003
013029004,013029004,"",013029004,013029004
013029005,013029005,"",013029005,013029005
013029006,013029006,"",013029006,013029006
013029007,013029007,"",013029007,013029007
013029008,013029008,"",013029008,013029008
013029009,013029009,"",013029009,013029009
013029010,013029010,"",013029010,013029010
013029011,013029011,"",013029011,013029011
013029012,013029012,"",013029012,013029012
013029013,013029013,"",013029013,013029013
013029014,013029014,"",013029014,013029014
013029015,013029015,"",013029015,013029015
013029016,013029016,"",013029016,013029016
013029017,013029017,"",013029017,013029017
013029018,013029018,"",013029018,013029018
013029019,013029019,"",013029019,013029019
013029020,013029020,"",013029020,013029020
013029021,013029021,"",013029021,013029021
013029022,013029022,"",013029022,013029022
013029023,013029023,"",013029023,013029023
013029024,013029024,"",013029024,013029024
013029025,013029025,"",013029025,013029025
013029026,013029026,"",013029026,013029026
013029027,013029027,"",013029027,013029027
013029028,013029028,"",013029028,013029028
013029029,013029029,"",013029029,013029029
013029030,013029030,"",013029030,013029030
014001001,014001001,"",014001001,014001001
014001002,014001002,"",014001002,014001002
014001003,014001003,"",014001003,014001003
014001004,014001004,"",014001004,014001004
014001005,014001005,"",014001005,014001005
014001006,014001006,"",014001006,014001006
014001007,014001007,"",014001007,014001007
014001008,014001008,"",014001008,014001008
014001009,014001009,"",014001009,014001009
014001010,014001010,"",014001010,014001010
014001011,014001011,"",014001011,014001011
014001012,014001012,"",014001012,014001012
014001013,014001013,"",014001013,014001013
014001014,014001014,"",014001014,014001014
014001015,014001015,"",014001015,014001015
014001016,014001016,"",014001016,014001016
014001017,014001017,"",014001017,014001017
014002001,014001018,"",014001018,014002001
014002002,014002001,"",014002001,014002002
014002003,014002002,"",014002002,014002003
014002004,014002003,"",014002003,014002004
014002005,014002004,"",014002004,014002005
014002006,014002005,"",014002005,014002006
014002007,014002006,"",014002006,014002007
014002008,014002007,"",014002007,014002008
014002009,014002008,"",014002008,014002009
014002010,014002009,"",014002009,014002010
014002011,014002010,"",014002010,014002011
014002012,014002011,"",014002011,014002012
014002013,014002012,"",014002012,014002013
014002014,014002013,"",014002013,014002014
014002015,014002014,"",014002014,014002015
014002016,014002015,"",014002015,014002016
014002017,014002016,"",014002016,014002017
014002018,014002017,"",014002017,014002018
014003001,014003001,"",014003001,014003001
014003002,014003002,"",014003002,014003002
014003003,014003003,"",014003003,014003003
014003004,014003004,"",014003004,014003004
014003005,014003005,"",014003005,014003005
014003006,014003006,"",014003006,014003006
014003007,014003007,"",014003007,014003007
014003008,014003008,"",014003008,014003008
014003009,014003009,"",014003009,014003009
014003010,014003010,"",014003010,014003010
014003011,014003011,"",014003011,014003011
014003012,014003012,"",014003012,014003012
014003013,014003013,"",014003013,014003013
014003014,014003014,"",014003014,014003014
014003015,014003015,"",014003015,014003015
014003016,014003016,"",014003016,014003016
014003017,014003017,"",014003017,014003017
014004001,014004001,"",014004001,014004001
014004002,014004002,"",014004002,014004002
014004003,014004003,"",014004003,014004003
014004004,014004004,"",014004004,014004004
014004005,014004005,"",014004005,014004005
014004006,014004006,"",014004006,014004006
014004007,014004007,"",014004007,014004007
014004008,014004008,"",014004008,014004008
014004009,014004009,"",014004009,014004009
014004010,014004010,"",014004010,014004010
014004011,014004011,"",014004011,014004011
014004012,014004012,"",014004012,014004012
014004013,014004013,"",014004013,014004013
014004014,014004014,"",014004014,014004014
014004015,014004015,"",014004015,014004015
014004016,014004016,"",014004016,014004016
014004017,014004017,"",014004017,014004017
014004018,014004018,"",014004018,014004018
014004019,014004019,"",014004019,014004019
014004020,014004020,"",014004020,014004020
014004021,014004021,"",014004021,014004021
014004022,014004022,"",014004022,014004022
014005001,014005001,"",014005001,014005001
014005002,014005002,"",014005002,014005002
014005003,014005003,"",014005003,014005003
014005004,014005004,"",014005004,014005004
014005005,014005005,"",014005005,014005005
014005006,014005006,"",014005006,014005006
014005007,014005007,"",014005007,014005007
014005008,014005008,"",014005008,014005008
014005009,014005009,"",014005009,014005009
014005010,014005010,"",014005010,014005010
014005011,014005011,"",014005011,014005011
014005012,014005012,"",014005012,014005012
014005013,014005013,"",014005013,014005013
014005014,014005014,"",014005014,014005014
014006001,014006001,"",014006001,014006001
014006002,014006002,"",014006002,014006002
014006003,014006003,"",014006003,014006003
014006004,014006004,"",014006004,014006004
014006005,014006005,"",014006005,014006005
014006006,014006006,"",014006006,014006006
014006007,014006007,"",014006007,014006007
014006008,014006008,"",014006008,014006008
014006009,014006009,"",014006009,014006009
014006010,014006010,"",014006010,014006010
014006011,014006011,"",014006011,014006011
014006012,014006012,"",014006012,014006012
014006013,014006013,"",014006013,014006013
014006014,014006014,"",014006014,014006014
014006015,014006015,"",014006015,014006015
014006016,014006016,"",014006016,014006016
014006017,014006017,"",014006017,014006017
014006018,014006018,"",014006018,014006018
014006019,014006019,"",014006019,014006019
014006020,014006020,"",014006020,014006020
014006021,014006021,"",014006021,014006021
014006022,014006022,"",014006022,014006022
014006023,014006023,"",014006023,014006023
014006024,014006024,"",014006024,014006024
014006025,014006025,"",014006025,014006025
014006026,014006026,"",014006026,014006026
014006027,014006027,"",014006027,014006027
014006028,014006028,"",014006028,014006028
014006029,014006029,"",014006029,014006029
014006030,014006030,"",014006030,014006030
014006031,014006031,"",014006031,014006031
014006032,014006032,"",014006032,014006032
014006033,014006033,"",014006033,014006033
014006034,014006034,"",014006034,014006034
014006035,014006035,"",014006035,014006035
014006036,014006036,"",014006036,014006036
014006037,014006037,"",014006037,014006037
014006038,014006038,"",014006038,014006038
014006039,014006039,"",014006039,014006039
014006040,014006040,"",014006040,014006040
014006041,014006041,"",014006041,014006041
014006042,014006042,"",014006042,014006042
014007001,014007001,"",014007001,014007001
014007002,014007002,"",014007002,014007002
014007003,014007003,"",014007003,014007003
014007004,014007004,"",014007004,014007004
014007005,014007005,"",014007005,014007005
014007006,014007006,"",014007006,014007006
014007007,014007007,"",014007007,014007007
014007008,014007008,"",014007008,014007008
014007009,014007009,"",014007009,014007009
014007010,014007010,"",014007010,014007010
014007011,014007011,"",014007011,014007011
014007012,014007012,"",014007012,014007012
014007013,014007013,"",014007013,014007013
014007014,014007014,"",014007014,014007014
014007015,014007015,"",014007015,014007015
014007016,014007016,"",014007016,014007016
014007017,014007017,"",014007017,014007017
014007018,014007018,"",014007018,014007018
014007019,014007019,"",014007019,014007019
014007020,014007020,"",014007020,014007020
014007021,014007021,"",014007021,014007021
014007022,014007022,"",014007022,014007022
014008001,014008001,"",014008001,014008001
014008002,014008002,"",014008002,014008002
014008003,014008003,"",014008003,014008003
014008004,014008004,"",014008004,014008004
014008005,014008005,"",014008005,014008005
014008006,014008006,"",014008006,014008006
014008007,014008007,"",014008007,014008007
014008008,014008008,"",014008008,014008008
014008009,014008009,"",014008009,014008009
014008010,014008010,"",014008010,014008010
014008011,014008011,"",014008011,014008011
014008012,014008012,"",014008012,014008012
014008013,014008013,"",014008013,014008013
014008014,014008014,"",014008014,014008014
014008015,014008015,"",014008015,014008015
014008016,014008016,"",014008016,014008016
014008017,014008017,"",014008017,014008017
014008018,014008018,"",014008018,014008018
014009001,014009001,"",014009001,014009001
014009002,014009002,"",014009002,014009002
014009003,014009003,"",014009003,014009003
014009004,014009004,"",014009004,014009004
014009005,014009005,"",014009005,014009005
014009006,014009006,"",014009006,014009006
014009007,014009007,"",014009007,014009007
014009008,014009008,"",014009008,014009008
014009009,014009009,"",014009009,014009009
014009010,014009010,"",014009010,014009010
014009011,014009011,"",014009011,014009011
014009012,014009012,"",014009012,014009012
014009013,014009013,"",014009013,014009013
014009014,014009014,"",014009014,014009014
014009015,014009015,"",014009015,014009015
014009016,014009016,"",014009016,014009016
014009017,014009017,"",014009017,014009017
014009018,014009018,"",014009018,014009018
014009019,014009019,"",014009019,014009019
014009020,014009020,"",014009020,014009020
